㓦划	㓦劃
岩礁	岩礁
岩羊	岩羊
岩邑	巖邑
岩郎	巖郎
岩阻	巖阻
岩陛	巖陛
岩脉	岩脈
岩蔷薇	巖薔薇
岳阳	岳陽
岳飞	岳飛
岳麓	嶽麓
岳家	岳家
岳坟	岳墳
岳岳	嶽嶽
岳庙	岳廟
岳丈	岳丈
岳云	岳雲
岳母	岳母
岳氏	岳氏
岳父	岳父
岳珂	岳珂
岁寒松柏	歲寒松柏
岁丰年稔	歲豐年稔
岁修	歲修
岁计余绌	歲計餘絀
坐台	坐檯
坐冷板凳	坐冷板凳
坐如钟	坐如鐘
坐山观虎斗	坐山觀虎鬥
坐庄	坐莊
坐致	坐致
坐药	坐藥
坐萝卜	坐蘿蔔
坐薪尝胆	坐薪嘗膽
坐蜡	坐蠟
坐标	座標
坐板疮	坐板瘡
坐钟	坐鐘
坐领干薪	坐領乾薪
坛兆	壇兆
坛台	壇臺
坛场	壇場
坛城	壇城
坛子	罈子
坛宇	壇宇
坛烧刀子	罈燒刀子
坛白干	罈白干
坛美酒	罈美酒
坛陈年	罈陳年
坛騞	罈騞
坛高粱	罈高粱
坦克	坦克
坦坦荡荡	坦坦蕩蕩
坦尚尼亚联合共和国	坦尚尼亞聯合共和國
坦荡荡	坦蕩蕩
坏了	壞了
坏于	壞於
均田制度	均田制度
坚致	堅緻
坤范	坤範
坤表	坤錶
基准	基準
基克维特	基克維特
基地台	基地臺
基尔库克	基爾庫克
基岩	基岩
基布兹	基布茲
基干	基幹
基度山恩仇记	基度山恩仇記
基性岩石	基性岩石
基板	基板
基极	基極
基民党	基民黨
基面	基面
埃克托	埃克托
埃布罗	埃布羅
埃夫伯里	埃夫伯里
埃德蒙顿	埃德蒙頓
埃拉托塞尼斯	埃拉托塞尼斯
埃格尔松	埃格爾松
培养出	培養出
培尔松	培爾松
培特曼赫鲁威克	培特曼赫魯威克
培美曲塞	培美曲塞
培育出来	培育出來
培里克利斯	培裏克利斯
培里克里斯	培里克里斯
埋尸	埋屍
埋布	埋佈
埋杆竖柱	埋杆豎柱
埋没人才	埋沒人才
城市依赖症	城市依賴症
城市规划	城市規劃
城里	城裏
城雕	城雕
域名抢注	域名搶注
域名注册	域名註冊
建筑	建築
建立规范	建立規範
建党	建黨
建出	建出
建制	建制
建厂	建廠
建台	建臺
建教合作	建教合作
建极	建極
建造出	建造出
建都于	建都於
廖于诚	廖于誠
廖俊杰	廖俊傑
廖千莹	廖千瑩
廖志坚	廖志堅
廖本烟	廖本煙
廖本胜	廖本勝
延厘	延釐
延发	延發
延后	延後
延地里	延地裏
延伸出	延伸出
延修	延修
廉价品	廉價品
廷巴克图	廷巴克圖
廷布	廷布
如同	如同
如干	如干
如愿	如願
如所周知	如所周知
如有雷同	如有雷同
如果干	如果幹
如何干	如何幹
如隔三秋	如隔三秋
如须	如須
如获珍宝	如獲珍寶
如获至宝	如獲至寶
妙极	妙極
妙探寻凶	妙探尋兇
妙曲	妙曲
妙发灵机	妙發靈機
妙妙熊历险记	妙妙熊歷險記
妖术	妖術
妖气冲天	妖氣沖天
妇女团体	婦女團體
妇女杂志	婦女雜誌
妇女联合会	婦女聯合會
塔克	塔克
塔台	塔臺
塔布	塔布
塔钟	塔鐘
塔什干	塔什干
塞克	塞克
塞回	塞回
塞耳盗钟	塞耳盜鐘
塞药	塞藥
塞莉佛维克	塞莉佛維克
塞车症候群	塞車症候羣
塞上曲	塞上曲
塞下曲	塞下曲
塑炼机	塑煉機
填个	填個
填了	填了
填发	填發
填字游戏	填字遊戲
填表格	填表格
垂了	垂了
垂于	垂於
垂帘	垂簾
垂发	垂髮
垂吊	垂吊
垂念	垂念
垂死挣扎	垂死掙扎
垂注	垂注
垂涎欲滴	垂涎欲滴
垂直于	垂直於
垂直搜索	垂直搜索
垂直面	垂直面
垂范	垂範
垂裕后昆	垂裕後昆
垂面	垂面
垂馨千祀	垂馨千祀
垫出	墊出
垫回	墊回
垫发	墊發
垫个	墊個
垫了	墊了
型别	型別
型录	型錄
垮台	垮臺
垮向	垮向
唱回	唱回
唱出	唱出
唱叹	唱嘆
唱对台戏	唱對臺戲
唱念	唱唸
唱个	唱個
唱了	唱了
唱曲	唱曲
唱游	唱遊
唇彩	脣彩
唇干	脣乾
售后	售後
售出	售出
售台	售臺
售价为	售價爲
售货台	售貨臺
售货合约	售貨合約
唐才常	唐才常
唐王游地府	唐王遊地府
唐美云	唐美雲
唾面自干	唾面自乾
娘儿	孃兒
娘娘	娘娘
娘子	娘子
娘家	孃家
娘姨	孃姨
娘婆	娘婆
娘老子	孃老子
娘胎	孃胎
娘舅	孃舅
威奇托	威奇托
威尔生氏症	威爾生氏症
威布里吉	威布里吉
威廉亚历山大	威廉亞歷山大
威比苏诺	威比蘇諾
威氏注音法	威氏注音法
威里斯	威里斯
威风八面	威風八面
娇娘	嬌娘
娇嫩欲滴	嬌嫩欲滴
娇艳欲滴	嬌豔欲滴
娇袅不胜	嬌嫋不勝
娶回家	娶回家
勾出	勾出
勾划	勾劃
勾勒出	勾勒出
勾干	勾幹
勾当	勾當
勾心斗角	勾心鬥角
勿药有喜	勿藥有喜
勿药而愈	勿藥而愈
勒克	勒克
勒借	勒借
勤仆	勤僕
勃发	勃發
勃德修正案	勃德修正案
壮志	壯志
壮室之秋	壯室之秋
壮阳药	壯陽藥
壮面	壯麪
声价不凡	聲價不凡
声价十倍	聲價十倍
声如洪钟	聲如洪鐘
声彻云霄	聲徹雲霄
士别三日	士別三日
士别多日	士別多日
壶里乾坤	壺裏乾坤
傅克斯	傅克斯
傅利叶	傅利葉
傅匀余	傅勻余
傅岩	傅巖
傅彩	傅彩
傅立叶	傅立葉
傅科摆	傅科擺
傅粉施朱	傅粉施朱
催眠药	催眠藥
储训人才	儲訓人才
储训干部	儲訓幹部
傻大个儿	傻大個兒
僵固	僵固
僵尸	殭屍
僵冷	僵冷
僵化	僵化
僵卧	僵臥
僵局	僵局
僵持	僵持
僵掉	僵掉
僵李代桃	僵李代桃
僵死	僵死
僵直	僵直
僵硬	僵硬
僵立	僵立
僵事	僵事
僵仆	僵仆
僵住	僵住
僵蚕	殭蠶
商借	商借
商务代表	商務代表
商历	商曆
商周	商周
商团	商團
商学系	商學系
商业发票	商業發票
商业计划	商業計劃
商秋	商秋
商科集团	商科集團
墨沈	墨沈
墨斗	墨斗
墨荡子	墨盪子
墨西哥合众国	墨西哥合衆國
墨迹未干	墨跡未乾
墨卷	墨卷
墨发	墨髮
墓志铭	墓誌銘
墙面而立	牆面而立
嫁个	嫁個
嫁出去	嫁出去
嫁出来	嫁出來
嫁祸于人	嫁禍於人
嫉恶好善	嫉惡好善
嫉恶如仇	嫉惡如仇
嫌凶	嫌兇
噪音	噪音
噪鹛	噪鶥
噪动	譟動
噪声	噪聲
噶大克	噶大克
噶布伦	噶布倫
噶当派	噶當派
嘉布瑞尔	嘉布瑞爾
嘉肴	嘉餚
嘉言录	嘉言錄
嘉谷	嘉穀
嘉义师范学院	嘉義師範學院
堪当	堪當
堪布	堪布
嗜眠症	嗜眠症
嗜睡症	嗜睡症
崔敬邕墓志铭	崔敬邕墓誌銘
崔涂	崔塗
儒略历	儒略曆
儒略改革历	儒略改革曆
儿童台	兒童臺
儿童团	兒童團
嚷出去	嚷出去
嚷出来	嚷出來
嚼舌自尽	嚼舌自盡
嚼蜡	嚼蠟
嚼谷	嚼穀
峰回	峯迴
峰岩	峯巖
才华	才華
才回	纔回
才出	纔出
才可	纔可
才开	纔開
才像	纔像
才储八斗	才儲八斗
才再	纔再
才力	才力
才勇兼优	才勇兼優
才去	纔去
才名	才名
才器	才器
才在	纔在
才士	才士
才如史迁	才如史遷
才始	纔始
才媛	才媛
才对	纔對
才将	纔將
才当曹斗	才當曹斗
才能	才能 纔能
才貌	才貌
才蔽识浅	才蔽識淺
才藻	才藻
才行	纔行 才行
才要	纔要
才讲	纔講
才贯二酉	才貫二酉
才跟	纔跟
才轻德薄	才輕德薄
才气	才氣
才打	纔打
才拿	纔拿
才没	纔沒
才派	纔派
才悟	才悟
才敢	纔敢
才料	纔料
才是	纔是
才智	才智
才此	纔此
才看	纔看
才用	才用
才略	才略
才等	纔等
才算	纔算
才短气粗	才短氣粗
才秀人微	才秀人微
才给	纔給
才会	纔會
才买	纔買
才人	才人
才非玉润	才非玉潤
打制	打製
打冲锋	打衝鋒
打和哄	打和哄
打哄	打鬨
打墙板儿翻上下	打牆板兒翻上下
打对台	打對臺
打当	打當
打心眼里	打心眼裏
打斗	打鬥
打恶心	打噁心
打成一团	打成一團
打扑克	打撲克
打拐	打拐
打挨	打捱
打摆子	打擺子
打擂台	打擂臺
打暗号	打暗號
打桨杆	打槳桿
打棍出箱	打棍出箱
打没头坛	打沒頭壇
打伙	打夥
打价	打價
打谷	打穀
打蜡	打蠟
打花胡哨	打花胡哨
打药	打藥
打蛇不死后患无穷	打蛇不死後患無窮
打路庄板	打路莊板
打照面	打照面
打破纪录	打破紀錄
打筋斗	打筋斗
打簧表	打簧錶
打紧板	打緊板
打绝板	打絕板
打翻了的牛奶而哭泣	打翻了的牛奶而哭泣
打造出	打造出
打道回府	打道回府
打靠后	打靠後
打风后	打風後
打饥荒	打饑荒
托克	托克
托勒	托勒
托尔	托爾
托儿	托兒
托出	托出
托卖	託賣
托名	託名
托命	託命
托咎	託咎
托地	托地
托墨	托墨
托实	托實
托幼	托幼
托庇	託庇
托足	托足
托育	托育
托腮	托腮
托色	托色
托荤咸食	托葷鹹食
托莱多	托萊多
托蒂	托蒂
托言	託言
托词	託詞
托身	託身
托福	託福
托盘	托盤
托管	託管
托米	托米
托熟	托熟
托特	托特
托生	託生
托疾	託疾
托病	託病
托登汉队	托登漢隊
托维	托維
托罗斯山	托羅斯山
托拉	托拉
托斯卡	托斯卡
托木尔	托木爾
托故	託故
托杯	托杯
托架	托架
托梦	託夢
托里	托里
托马	托馬
托附	託附
托领	托領
托买	託買
托付	託付
托住	托住
扣回	扣回
扣儿	扣兒
扣动	扣動
扣响	扣響
扣啊	扣啊
扣在	扣在
扣头	扣頭
扣子	釦子
扣完	扣完
扣将	扣將
扣带	扣帶
扣开	扣開
扣得	扣得
扣点	扣點
扣球	扣球
扣留	扣留
扣的	扣的
扣眼	釦眼
扣着	扣着
扣税	扣稅
扣篮	扣籃
扣紧	扣緊
扣绊	扣絆
扣缴	扣繳
扣罚	扣罰
扣我	扣我
扣扣	扣扣
扣掉	扣掉
扣查	扣查
扣款	扣款
扣法	扣法
扣满	扣滿
扣件	扣件
扣肉	扣肉
扣船	扣船
扣薪	扣薪
扣表	扣表
扣费	扣費
扣起	扣起
扣车	扣車
扣锁	扣鎖
扣除	扣除
扣题	扣題
扎好	紮好
扎兰屯	扎蘭屯
扎实	紮實
扎带	紮帶
扎到	扎到
扎卡维	扎卡維
扎啤	扎啤
扎嘴	扎嘴
扎在	紮在
扎垫	扎墊
扎堆	扎堆
扎寨	紮寨
扎尔达里	扎爾達里
扎心	扎心
扎成	紮成
扎括	扎括
扎挣	扎掙
扎掂	扎掂
扎撒	扎撒
扎枪	扎槍
扎欧扎翁	紮歐紮翁
扎煞	扎煞
扎猛子	扎猛子
扎窝子	扎窩子
扎筏子	扎筏子
扎紧	紮緊
扎线带	紮線帶
扎结	紮結
扎缚	扎縛
扎罚子	扎罰子
扎耳朵	扎耳朵
扎花	扎花
扎草	扎草
扎营	紮營
扎裹	紮裹
扎诈	紮詐
扎乎	扎乎
扎了	紮了
扎伊尔	扎伊爾
扎住	扎住
扎鲁特	扎魯特
扎针	扎針
扎铁	紮鐵
手术	手術
手折	手摺
手挽手	手挽手
手掌多汗症	手掌多汗症
手摇杯	手搖杯
手擀面	手擀麪
手卷	手卷
手同脚	手同腳
手工台	手工檯
手彩儿	手彩兒
手心里	手心裏
手面	手面
手酸	手痠
手表	手錶
手腕式指北针	手腕式指北針
手足口症	手足口症
所向	所向
所剩无几	所剩無幾
所占	所佔
所发现	所發現
所周知	所周知
所念	所念
所致	所致
所讥而云	所譏而云
所谓而云	所謂而云
所云	所云
所余	所餘
所有制	所有制
批发	批發
批回	批迴
批复	批覆
批尸	批屍
批斗	批鬥
批核	批覈
批汇	批匯
批注	批註
扑克	撲克
扑出	撲出
扑冬	撲鼕
扑复	撲復
扑了	撲了
扑面	撲面
扑通通冬	撲通通冬
找出	找出
找台阶	找臺階
找回	找回
找借口	找藉口
找寻出	找尋出
找了	找了
找价	找價
扶出	扶出
扶同	扶同
扶善惩恶	扶善懲惡
扶幼周	扶幼週
扶余	扶余
扶了	扶了
扶苏	扶蘇
扶贫济困	扶貧濟困
承当	承當
承先启后	承先啓後
承制	承製
承前启后	承前啓後
承受不了	承受不了
承宣布政使司	承宣布政使司
承平面	承平面
承蒙关照	承蒙關照
承蒙指教	承蒙指教
承销价差	承銷價差
承销团	承銷團
扫出	掃出
扫田刮地	掃田刮地
扫眉才子	掃眉才子
扫荡残敌	掃蕩殘敵
扭出	扭出
扭别	扭別
扭头折颈	扭頭折頸
扭摆	扭擺
扭曲	扭曲
扭成一团	扭成一團
扯出	扯出
扯后腿	扯後腿
扯面	扯麪
扯篷拉纤	扯篷拉縴
扯纤	扯縴
扬升	揚升
扔出去	扔出去
扔出来	扔出來
扔回去	扔回去
扔回来	扔回來
扩厂	擴廠
扩大范围	擴大範圍
扩建工厂	擴建工廠
扩张术	擴張術
扛出	扛出
扛大梁	扛大樑
执板	執板
扁担压不出个屁来	扁擔壓不出個屁來
扁拟谷盗虫	扁擬穀盜蟲
扁铲	扁鏟
扁锹形虫	扁鍬形蟲
扇面对	扇面對
扇面琴	扇面琴
朱唇	朱脣
朱墨	朱墨
朱凤芝	朱鳳芝
朱咏薇	朱詠薇
朱哲琴	朱哲琴
朱培庆	朱培慶
朱士行	朱士行
朱天文	朱天文
朱姓	朱姓
朱婉琪	朱婉琪
朱巴一	朱巴一
朱希真	朱希真
朱延平	朱延平
朱德	朱德
朱砂	硃砂
朱红	硃紅
朱理安历	朱理安曆
朱瑞	朱瑞
朱紫	朱紫
朱熹	朱熹
朱瓦碧甍	朱瓦碧甍
朱瞻基	朱瞻基
朱穆	朱穆
朱立伦	朱立倫
朱笔	硃筆
朱筠	朱筠
朱经武	朱經武
朱美	朱美
朱雀	朱雀
朱颜	朱顏
朱门	朱門
朱邸	朱邸
朱郁信	朱郁信
朱铭	朱銘
朱镕基	朱鎔基
朱顶	朱頂
朱马亚	朱馬亞
朱骏声	朱駿聲
朱高炽	朱高熾
朱鸟	朱鳥
朱黄	朱黃
朱文	朱文
朱拉隆功	朱拉隆功
朱提	朱提
朱明	朱明
朱权	朱權
朱柏庐	朱柏廬
朱标	朱標
朱棣	朱棣
朱槿	朱槿
朱比特	朱比特
朱永弘	朱永弘
朱泽民	朱澤民
朱洪武	朱洪武
朱淑真	朱淑真
朱温	朱溫
朱漆	朱漆
朱衣	朱衣
朱耷	朱耷
朱自清	朱自清
朱舜水	朱舜水
朱色	硃色
朱茵	朱茵
朱莉娅	朱莉婭
朱蒙	朱蒙
朱蕉	朱蕉
朱记	朱記
朱诺	朱諾
朱谕	硃諭
朱贝尔	朱貝爾
朱迪亚	朱迪亞
朱俊	朱儁
有志	有志
有征	有徵
有勾当	有勾當
有去无回	有去無回
有周	有周
有够赞	有夠讚
有尽有让	有儘有讓
有幸	有幸
有当	有當
有恒街	有恆街
有把傢伙	有把傢伙
有损于	有損於
有晚娘就有晚爷	有晚娘就有晚爺
有板有眼	有板有眼
有棱有角	有棱有角
有求于人	有求於人
有致	有致
有联系	有聯繫
有脸面	有臉面
有色人种	有色人種
有节制	有節制
有苦说不出	有苦說不出
有药瘾者	有藥癮者
有被种子植物纲	有被種子植物綱
有计划	有計劃
有赖于	有賴於
有进有出	有進有出
有福同享	有福同享
有缘千里来相会	有緣千里來相會
有烟煤	有煙煤
有益于	有益於
有系统	有系統
有鉴	有鑑
有面	有面
有采	有采
有难同当	有難同當
朴克牌	樸克牌
朴凤柱	朴鳳柱
朴刀	朴刀
朴厚	樸厚
朴吉渊	朴吉淵
朴周永	朴周永
朴恩惠	朴恩惠
朴拙	樸拙
朴新阳	朴新陽
朴智星	朴智星
朴树	朴樹
朴槿惠	朴槿惠
朴樕	樸樕
朴次茅斯	樸次茅斯
朴永训	朴永訓
朴泰桓	朴泰桓
朴讷	樸訥
朴质	樸質
朴诗妍	朴詩妍
朴鄙	樸鄙
朴钝	樸鈍
朴陋	樸陋
朴马	樸馬
朴鲁	樸魯
朴素	樸素
朴父	朴父
朴璐美	朴璐美
朴直	樸直
朴真熙	朴真熙
朴硝	朴硝
朴世莉	朴世莉
朴京琳	朴京琳
朴仔树	朴仔樹
朴修斯	樸修斯
本周	本週
本征	本徵
本党	本黨
本厂	本廠
本同末异	本同末異
本地管理界面	本地管理界面
本垒板	本壘板
本当	本當
本志	本志
本愿	本願
本所同仁	本所同仁
本报台	本報臺
本价	本價
本位制	本位制
本科系	本科系
本系	本系 本係
本色当行	本色當行
本草药学	本草藥學
木朽不雕	木朽不雕
木柜	木櫃
木梁	木樑
木雕	木雕
木里藏族自治县	木里藏族自治縣
木钟	木鐘
木铲	木鏟
木制	木製
木偶戏扎	木偶戲紮
木厂	木廠
木叶	木葉
木垒哈萨克自治县	木壘哈薩克自治縣
木强则折	木強則折
木心板	木心板
木芍药	木芍藥
木薯淀粉	木薯澱粉
木蜡	木蠟
木表法	木表法
未卜	未卜
未嫁新娘	未嫁新娘
未干	未乾
未开发国家	未開發國家
未必尽然	未必盡然
未了情	未了情
未了缘	未了緣
未知万一	未知萬一
未确定	未確定
未竟之志	未竟之志
未签字者	未簽字者
未扣	未扣
未折现	未折現
未易才	未易才
未获得	未獲得
月台	月臺
月出	月出
月历	月曆
月团	月團
月地云阶	月地雲階
月坠花折	月墜花折
月娘	月娘
月宫娘娘	月宮娘娘
月岩	月岩
月御	月御
月牙铲	月牙鏟
月球表面	月球表面
月相表	月相錶
月离于毕	月離於畢
月经规则术	月經規則術
月余	月餘
月核	月核
月里嫦娥	月裏嫦娥
月锻季炼	月鍛季煉
月面	月面
月色迷蒙	月色迷濛
月落参横	月落參橫
最后	最後
最前面	最前面
最大范围	最大範圍
最小范围	最小範圍
最里面	最裏面
最须	最須
最高当局	最高當局
最近几天	最近幾天
最近几年	最近幾年
朝出夕改	朝出夕改
朝北面	朝北面
朝圣团	朝聖團
朝钟	朝鐘
朝野两党	朝野兩黨
朝云	朝雲
朝东面	朝東面
朝乾夕惕	朝乾夕惕
朝核	朝核
机制	機制 機製
机器压制	機器壓製
机壳厂	機殼廠
机板	機板
机柜	機櫃
机种	機種
机绣	機繡
机缘巧合	機緣巧合
服制	服制
服御	服御
服药	服藥
服舍	服舍
服装周	服裝週
服从于	服從於
望出去	望出去
望幸	望幸
望弥撒	望彌撒
望乡台	望鄉臺
望眼欲穿	望眼欲穿
望秋先零	望秋先零
望穿秋水	望穿秋水
朋奸	朋奸
朋比为奸	朋比爲奸
术前	術前
术后	術後
术士	術士
术德兼修	術德兼修
术艺	術藝
术语	術語
术赤	朮赤
末叶	末葉
末后	末後
末大必折	末大必折
末娘	末娘
末胄	末胄
末药	末藥
札板儿	札板兒
朽木虫	朽木蟲
松江	松江
松懈	鬆懈
松桃	松桃
松散	鬆散
松溪	松溪
松滋	松滋
松潘	松潘
松指部	松指部
松掉	鬆掉
松放	鬆放
松明	松明
松智路	松智路
松树	松樹
松气	鬆氣
松涛	松濤
松漠	松漠
松山	松山
松冈	松岡
松原	松原
松土	鬆土
松岭	松嶺
松巴哇	松巴哇
松元音	鬆元音
松喉	鬆喉
松垮	鬆垮
松大辅	松大輔
松子	松子
松宽	鬆寬
松尾芭蕉	松尾芭蕉
松得多	鬆得多
松快	鬆快
松萝	松蘿
松蛋	鬆蛋
松软	鬆軟
松胶	松膠
松茸	松茸
松菌	松菌
松藻虫	松藻蟲
松蘑	松蘑
松解	鬆解
松辽平原	松遼平原
松竹	松竹
松烟	松煙
松球	松球
松田	松田
松紧	鬆緊
松焦油	松焦油
松煤	松煤
松狮	鬆獅
松瓤	松瓤
松皮癣	松皮癬
松石	松石
松科	松科
松篁交翠	松篁交翠
松类	松類
松糕	鬆糕
松纹	松紋
松绑	鬆綁
松缓	鬆緩
松乔	松喬
松仁	松仁
松风	松風
松香	松香
松鹤	松鶴
松阳	松陽
松露	松露
松鼠	松鼠
松通	鬆通
松针	松針
松隆子	松隆子
松雪泰子	松雪泰子
松青	松青
松饼	鬆餅
松高路	松高路
松鱼	松魚
板擦	板擦
板房	板房
板斧	板斧
板极	板極
板栗	板栗
板梁桥	板梁橋
板油	板油
板滞	板滯
板块	板塊
板凳	板凳
板式	板式
板儿	板兒
板刷	板刷
板壁	板壁
板子	板子
板岩	板岩
板烟	板煙
板牙	板牙
板状	板狀
板球	板球
板画	板畫
板皮	板皮
板眼	板眼
板着脸	板着臉
板纸	板紙
板结	板結
板羽球	板羽球
板起	板起
板胡	板胡
板脸	板臉
板荡	板蕩
板蓝根	板藍根
板规	板規
板车	板車
板金	板金
板门店	板門店
板鸭	板鴨
板鼓	板鼓
板上钉钉	板上釘釘
板书	板書
杯具	杯具
杯内	杯內
杯前	杯前
杯后	杯後
杯和	杯和
杯垫	杯墊
杯壁	杯壁
杯套	杯套
杯子	杯子
杯布	杯佈
杯干	杯乾
杯弓蛇影	杯弓蛇影
杯状	杯狀
杯白干	杯白乾
杯的	杯的
杯碟	杯碟
杯突	杯突
杯羹	杯羹
杯水	杯水
杯换	杯換
杯是	杯是
杯杯	杯杯
杯沿	杯沿
杯葛	杯葛
杯茶	杯茶
杯蛇鬼车	杯蛇鬼車
杯装	杯裝
杯觥交错	杯觥交錯
杯赛	盃賽
杯身	杯身
杯酒	杯酒
杯里	杯裏
杯面	杯麪
杯了	杯了
杰克	傑克
杰奎琳	傑奎琳
杰出	傑出
杰利	傑利
杰卡伯	傑卡伯
杰士派	傑士派
杰夫	傑夫
杰乐米	傑樂米
杰拉	傑拉
杰森	傑森
杰斯	傑斯
杰杰	傑傑
杰米	傑米
杰特	杰特
杰瑞	傑瑞
杰西	傑西
杰迪卓	傑迪卓
杰里森	傑里森
李准基	李準基
李叔同	李叔同
李后主	李後主
李咸阳	李咸陽
李国修	李國修
李圣杰	李聖傑
李布瑞斯库	李布瑞斯庫
李干龙	李乾龍
李开复	李開復
李代桃僵	李代桃僵
李修贤	李修賢
李郭同舟	李郭同舟
李鉴原	李鑑原
李链福	李鍊福
李锺郁	李鍾郁
李炳千	李炳千
李盟干	李盟乾
李秋静	李秋靜
李斯特氏杆菌	李斯特氏桿菌
李杰	李傑
李洪志	李洪志
李胜琛	李勝琛
李连杰	李連杰
杂和面	雜和麪
杂婚制	雜婚制
杂种	雜種
杂症	雜症
杂板令	雜板令
杂交种	雜交種
杂交育种	雜交育種
杂谷脑镇	雜谷腦鎮
杂酱面	雜醬麪
杂面	雜麪
来回	來回
来复	來複
来历	來歷
来千去万	來千去萬
来宾致词	來賓致詞
来念	來唸
来苏	來蘇
来自于	來自於
来个	來個
来来回回	來來回回
来杯	來杯
杨凌示范区	楊淩示範區
杨千霈	楊千霈
杨叶窜儿	楊葉竄兒
杨士梁	楊士樑
杨宏志	楊宏志
杨志卖刀	楊志賣刀
杨松	楊松
杨文志	楊文誌
杨日松	楊日松
杨朱	楊朱
杨氏系数	楊氏係數
杨云龙	楊雲龍
杨致远	楊致遠
杨苏棣	楊甦棣
杨采妮	楊采妮
杨雅筑	楊雅筑
杜克	杜克
杜寅杰	杜寅傑
杜斯特布拉吉	杜斯特布拉吉
杜正胜	杜正勝
杜秋娘	杜秋娘
杜绝后患	杜絕後患
杜门不出	杜門不出
杜雅里克	杜雅里克
杀出	殺出
杀千刀	殺千刀
杀虫	殺蟲
杀蠹药	殺蠹藥
杀身出生	殺身出生
杀人须见血救人须救彻	殺人須見血救人須救徹
杀价	殺價
杀才	殺才
杀敌致果	殺敵致果
杆菌	桿菌
杆茵	桿茵
杆儿	杆兒 桿兒
杆刀	桿刀
杆塔	杆塔
杆子	杆子 桿子
杆状	桿狀
杆直	桿直
杆秤	桿秤
杠杆	槓桿
杠杠	槓槓
杠头	槓頭
杠子	槓子
杠牌	槓牌
杠着	槓着
杠铃	槓鈴
杠龟	槓龜
权变锋出	權變鋒出
权幸	權幸
权术	權術
权欲熏心	權慾薰心
村子里	村子裏
村干事	村幹事
村庄	村莊
村胄	村胄
村舍	村舍
村里长	村裏長
束发封帛	束髮封帛
束发金冠	束髮金冠
束身修行	束身修行
束身自修	束身自修
材疏志大	材疏志大
条几	條几
条干	條幹
条据	條據
条板箱	條板箱
杏坛	杏壇
杏干儿	杏乾兒
杭州师范学院	杭州師範學院
杭州萝卜绍兴种	杭州蘿蔔紹興種
杞梁妻	杞梁妻
折冲	折衝
折回	折回
折合	摺合
折子	摺子
折倒	折倒
折剉	折剉
折壁脚	折壁腳
折头	折頭
折实	折實
折屐	折屐
折帐	折帳
折弯	折彎
折当	折當
折得	折得
折节	折節
折起	折起
折耗	折耗
折肱	折肱
折臂三公	折臂三公
折色	折色
折莫	折莫
折裙	摺裙
折角	折角
折让	折讓
折证	折證
折账	折賬
折足复𫗧	折足覆餗
折跟头	折跟頭
折身	折身
折转	折轉
折旧	折舊
折损	折損
折桂	折桂
折抵	折抵
折挫	折挫
折断	折斷
折杀	折殺
折枝	折枝
折梯	摺梯
折椅	摺椅
折现	折現
折狱	折獄
折痕	摺痕
折的	折的
折碗	折碗
折磨	折磨
折福	折福
折秤	折秤
折篷	摺篷
折缝	折縫
折罚	折罰
折翼	折翼
折价	折價
折伤	折傷
折钱	折錢
折长补短	折長補短
折页	摺頁
折鼎复𫗧	折鼎覆餗
报复	報復
报出	報出
报值挂号	報值掛號
报刊杂志	報刊雜誌
报台	報臺
报名表	報名表
报告出来	報告出來
报导出来	報導出來
报录人	報錄人
报修	報修
报税表	報稅表
报穷制裁	報窮制裁
报章杂志	報章雜誌
报系	報系
报表纸	報表紙
报表语言	報表語言
投出	投出
投喂	投餵
投回	投回
投射出	投射出
投注	投注
投梭折齿	投梭折齒
投河自尽	投河自盡
投潘岳果	投潘岳果
投环自尽	投環自盡
投票表决	投票表決
抽出	抽出
抽公签	抽公籤
抽厘	抽釐
抽后腿	抽後腿
抽咽	抽咽
抽回	抽回
抽尽	抽盡
抽干	抽乾
抽烟	抽菸
抽穗	抽穗
抽签	抽籤
抽绎出	抽繹出
抽斗	抽斗
抽油烟机	抽油煙機
披发	披髮
披卷	披卷
披挂	披掛
披榛采兰	披榛採蘭
披云雾睹青天	披雲霧睹青天
抗噪	抗噪
抗干扰性	抗干擾性
抗御	抗禦
抗癌药	抗癌藥
抗组胺药	抗組胺藥
抗拒不了	抗拒不了
抗日救亡团体	抗日救亡團體
抗药	抗藥
抗菌药	抗菌藥
抱出	抱出
抱回	抱回
抱大足杆	抱大足桿
抱布贸丝	抱布貿絲
抱朴	抱朴
抱成一团	抱成一團
抱抱团	抱抱團
抓回	抓回
抓周	抓周
抓奸	抓姦
抓彩	抓彩
抓药	抓藥
抓获	抓獲
抵御	抵禦
抵借	抵借
抵制	抵制
抵向	抵向
抵当	抵當
抵扣	抵扣
抵押借款	抵押借款
抵挡不了	抵擋不了
抑制作用	抑制作用
抑制栽培	抑制栽培
抑制酶	抑制酶
抑郁不平	抑鬱不平
抑郁寡欢	抑鬱寡歡
抑郁症	抑鬱症
抑恶扬善	抑惡揚善
抑扬升降性	抑揚昇降性
护发	護髮
护厂	護廠
护向	護向
护壁板	護壁板
护念	護念
护理系	護理系
护面具	護面具
抚尸	撫屍
抚台	撫臺
抚松	撫松
抚恤	撫卹
抚梁易柱	撫梁易柱
抚面痛哭	撫面痛哭
抄录	抄錄
抄后路	抄後路
抄手游廊	抄手遊廊
